x,y
497.0032958984375,209
494.2229995727539,209.00096130371094
491.4427375793457,209.00192260742188
488.6624755859375,209.0028839111328
485.8821792602539,209.00384521484375
483.1018829345703,209.0048065185547
480.3215866088867,209.00576782226562
477.5413246154785,209.00672912597656
474.7610626220703,209.0076904296875
471.9807662963867,209.00863456726074
469.2004699707031,209.00959587097168
466.4202079772949,209.01055717468262
463.6399459838867,209.01151847839355
460.8596496582031,209.0124797821045
458.07935333251953,209.01344108581543
455.29905700683594,209.01440238952637
452.51879501342773,209.0153636932373
449.73853302001953,209.01632499694824
446.95823669433594,209.01728630065918
444.17794036865234,209.01823043823242
441.39764404296875,209.01919174194336
438.61741638183594,209.0201530456543
435.83712005615234,209.02111434936523
433.05682373046875,209.02207565307617
430.27652740478516,209.0230369567871
427.49626541137695,209.02399826049805
424.71600341796875,209.02495956420898
421.93570709228516,209.02592086791992
419.15541076660156,209.02688217163086
416.37511444091797,209.0278263092041
413.59488677978516,209.02878761291504
410.81459045410156,209.02974891662598
408.03429412841797,209.0307102203369
405.2539978027344,209.03167152404785
402.4737358093262,209.0326328277588
399.69347381591797,209.03359413146973
396.9131774902344,209.03455543518066
394.1328811645508,209.0355167388916
391.3525848388672,209.03647804260254
388.5723571777344,209.03742218017578
385.7920608520508,209.03838348388672
383.0117645263672,209.03934478759766
380.2314682006836,209.0403060913086
377.4512062072754,209.04126739501953
374.6709442138672,209.04222869873047
371.8906478881836,209.0431900024414
369.1103515625,209.04415130615234
366.3300895690918,209.04511260986328
363.5497932434082,209.04607391357422
360.76953125,209.04701805114746
357.9892349243164,209.0479793548584
355.2089729309082,209.04894065856934
352.4286766052246,209.04990196228027
349.6484146118164,209.0508632659912
346.8681182861328,209.05182456970215
344.0878219604492,209.0527858734131
341.307559967041,209.05374717712402
338.5272636413574,209.05470848083496
335.7470016479492,209.0556697845459
332.9667053222656,209.05661392211914
330.1864433288574,209.05757522583008
327.4061470031738,209.05853652954102
324.6258850097656,209.05949783325195
321.84558868408203,209.0604591369629
319.06529235839844,209.06142044067383
316.28503036499023,209.06238174438477
313.50473403930664,209.0633430480957
310.72447204589844,209.06430435180664
307.94419288635254,209.06526565551758
305.16391372680664,209.06620979309082
302.38363456726074,209.06717109680176
299.60333824157715,209.0681324005127
296.82305908203125,209.06909370422363
294.04277992248535,209.07005500793457
291.26250076293945,209.0710163116455
288.48222160339355,209.07197761535645
285.70194244384766,209.07293891906738
282.92166328430176,209.07390022277832
280.14138412475586,209.07486152648926
277.36110496520996,209.0758056640625
274.58080863952637,209.07676696777344
271.80052947998047,209.07772827148438
269.02025032043457,209.0786895751953
266.2399711608887,209.07965087890625
263.4596920013428,209.0806121826172
260.6794128417969,209.08157348632812
257.899133682251,209.08253479003906
255.11885452270508,209.08349609375
252.33855819702148,209.08445739746094
249.5582790374756,209.08540153503418
246.7779998779297,209.08636283874512
243.9977207183838,209.08732414245605
241.2174415588379,209.088285446167
238.437162399292,209.08924674987793
235.6569004058838,209.09175300598145
232.87665557861328,209.1051082611084
